Address,Latency
111.220.71.156-8333,366.875
111.90.140.132-8333,172.55555555555554
111.90.140.76-8333,173.2391304347826
111.90.146.50-8333,177.5503355704698
112.78.3.184-8333,211.85714285714286
113.166.234.33-8333,244.66666666666666
113.52.135.125-8333,298.5868945868946
114.206.60.98-8333,251.51714285714286
114.23.122.174-8333,289.72727272727275
114.23.246.137-8333,291.53799392097267
116.14.61.160-8333,273.6666666666667
116.202.0.237-8333,44.60285714285714
116.202.161.56-8333,1.0
116.202.162.114-8333,1.108695652173913
116.202.196.182-8333,1.1634615384615385
116.202.51.11-8333,1.0
116.202.51.176-8333,1.513157894736842
116.202.82.177-8333,1.011111111111111
116.203.112.73-8333,3.1116751269035534
116.203.249.151-8333,1.0572916666666667
116.203.29.242-8333,3.263157894736842
117.51.159.130-8333,610.047619047619
118.163.120.179-8333,215.93617021276594
118.163.122.208-8333,212.5203761755486
118.210.115.181-8333,320.0
118.93.57.249-8333,289.29
119.18.34.97-8333,518.5
119.29.54.159-8333,212.84583333333333
119.3.208.236-8333,260.78620689655173
12.244.119.30-8333,128.17307692307693
120.79.173.243-8333,208.8375
121.89.194.147-8333,202.24285714285713
121.98.205.102-8333,319.5
121.99.185.140-8333,311.0
122.148.206.103-8333,326.12820512820514
122.199.0.104-8333,1695.3333333333333
123.118.130.106-8333,14401.0
123.203.163.128-8333,184.53846153846155
123.31.43.172-8333,224.22
128.0.190.26-8333,21.291338582677167
128.106.234.92-8333,306.3888888888889
128.116.239.2-8333,53.0
128.199.218.126-8333,171.07648725212465
128.199.234.102-8333,168.16666666666666
128.199.29.226-8333,137.92708333333334
128.199.50.213-8333,17.59903381642512
128.237.154.145-8333,1527.58
128.72.85.127-8333,50.4
128.74.15.217-8333,465.0
129.13.189.208-8333,60.343839541547275
129.21.34.19-8333,94.0
13.112.218.4-8333,248.5
13.113.116.175-8333,254.67460317460316
13.124.60.74-8333,279.6484375
13.124.74.157-8333,282.9484240687679
13.125.193.111-8333,282.0
13.209.215.189-8333,279.99333333333334
13.212.96.45-8333,174.4494382022472
13.228.130.195-8333,169.41643059490085
13.228.139.137-8333,169.25816993464053
13.228.253.91-8333,201.67567567567568
13.228.53.43-8333,168.08695652173913
13.228.91.206-8333,164.0
13.229.140.55-8333,171.73033707865167
13.229.203.245-8333,198.05714285714285
13.229.227.15-8333,168.8016877637131
13.231.190.71-8333,258.8
13.239.114.62-8333,294.39830508474574
13.251.176.17-8333,167.8561872909699
13.48.138.23-8333,26.25
13.48.25.119-8333,25.41176470588235
13.53.125.154-8333,24.9375
13.53.133.190-8333,24.671140939597315
130.211.240.7-8333,260.5416666666667
130.51.200.132-8333,141.36363636363637
131.147.86.142-8333,261.5263157894737
131.93.61.16-8333,149.22222222222223
134.0.115.57-8333,50.51162790697674
134.209.182.42-8333,22.62962962962963
134.209.188.212-8333,18.399425287356323
134.209.226.191-8333,5.357142857142857
134.209.68.4-8333,86.0
135.0.225.179-8333,4459.05
135.148.3.218-8333,94.46451612903226
135.148.37.240-8333,94.66037735849056
135.180.195.27-8333,163.69230769230768
135.181.0.151-8333,25.939655172413794
135.181.116.112-8333,26.26086956521739
135.181.164.152-8333,30.653846153846153
135.181.165.144-8333,27.357142857142858
135.181.165.182-8333,25.645833333333332
135.181.177.47-8333,25.696428571428573
135.181.41.129-8333,25.920353982300885
135.23.228.90-8333,229.56521739130434
135.23.95.229-8335,121.39285714285714
136.143.43.222-8333,14.112676056338028
136.24.119.249-8333,150.98480243161094
136.243.146.69-8333,1.04296875
136.243.151.174-8333,1.0223880597014925
136.243.176.210-8333,4.132075471698113
136.243.4.204-8333,1.9252873563218391
136.244.89.20-8333,5.0
136.34.203.180-8333,119.52941176470588
